id;category
1342843755217506305;-1
1248083994819747842;1
1327412643636899840;1
1313175915468394498;1
1344636224099770369;-1
1342227538735751172;-1
1242172006105145344;0
1273606450217193473;-1
1339519730026242048;-1
1232889768737898496;0
1295071778105065473;0
1264524530111991809;-1
1264397590625476608;1
1340387105378365441;-1
1309489668229083136;-1
1344690166414381058;-1
1236251093975404545;1
1282152691318304769;0
1330190751305756675;-1
1329148955876339713;-1
1311118101656862722;1
1322182009515577344;1
1305730412992495618;-1
1300099431556026368;-1
1326626233719926787;-1
1332507917992411137;1
1331273908855640071;0
1326243191188754432;0
1326178173248184320;1
1288143621217280001;-1
1291885677060206593;1
1320825262527803392;0
1279423467067039746;0
1225426176383995904;0
1270183760500326401;-1
1341986893748060161;0
1303600429847150593;-1
1282695668553748480;0
1272971372440977408;1
1246222751565631488;1
1329837923387183104;1
1248465737254981632;0
1333206382590316544;1
1282625446899781633;-1
1280620736433004546;0
1329443641337712652;-1
1220345709330718721;0
1328959373096472577;0
1265021443290480640;0
1315676014022995974;1
1247862751294148608;1
1317514457698938880;1
1328759334361206784;-1
1300538619787186178;-1
1313907726821531649;-1
1317559173274570752;-1
1257652575580483584;-1
1255885716401209346;1
1328710692019597313;0
1253430576951877633;1
1244802189664702464;1
1252237364195442689;0
1339641222428766216;-1
1315205248760320000;-1
1244661582598201344;1
1284321226123509762;1
1325844460056563714;0
1284481932554797056;1
1276852814535368704;1
1250203044689707009;0
1247332821925941249;1
1261059085123928069;-1
1246811076374810625;1
1338634206046511105;-1
1281943449013551104;-1
1335253249402789888;1
1332427248784318464;0
1274392802869338114;1
1286328205058748417;1
1294209772573556736;0
1345327510045691904;0
1327621818597969920;-1
1275940362679390208;-1
1239839026196221953;1
1223842317741674497;0
1272979085090680832;0
1327363178423062529;-1
1281926259459723264;-1
1277345931923464194;1
1283853839502909440;0
1335722924196544512;0
1321305241405558789;1
1296449929372721152;1
1329262912616206346;0
1286592577156915200;0
1318209447794192384;-1
1320431970615095296;0
1283193411286302721;-1
1242942580469329920;0
1246261996716281857;1
1282192297984249857;1
1296571589996285952;1
1265084731646976000;-1
1276597843273240576;-1
1221841032347901954;0
1331312377317494785;1
1326534786383536128;0
1246810588757528576;1
1273235102412218369;1
1327125551304347650;0
1329155714158215169;0
1242459774102327296;0
1277069116180922370;0
1336419110524235785;0
1327334492848132099;-1
1267622975811072000;1
1246208809867055107;1
1332456940589428740;1
1298203437973348359;-1
1246421913670426624;-1
1262984105815273472;1
1325935246542467072;0
1276153010499051529;1
1312395928016433154;-1
1283699774831632384;0
1331011853837889536;1
1304099030775947264;-1
1255971093866659841;0
1325846671490768897;-1
1269265883186290690;1
1260313994897874949;1
1318654422927495168;1
1275975435902279681;-1
1282947390887141377;1
1262457896492765187;1
