gram,counts
covid 19,35221
face mask,25695
wear mask,18116
wearing mask,11370
corona virus,9513
face masks,5772
n95 mask,3871
surgical mask,3640
wash hands,3306
mask protect,3262
coronavirus covid19,3204
coronavirus mask,3181
wear face,3172
mask coronavirus,3062
wearing face,2945
mask gloves,2788
gas mask,2782
covid19 coronavirus,2594
stay home,2429
mask public,2338
protect coronavirus,2075
n95 masks,1999
coronavirus face,1941
social distancing,1929
mask wearing,1816
use mask,1704
wear masks,1656
coronavirus pandemic,1611
stay safe,1559
coronavirus covid,1550
us accused,1520
spread coronavirus,1517
mask use,1484
wearing masks,1445
without mask,1443
mask amp,1437
mask shortage,1410
make mask,1405
coronavirus outbreak,1373
novel coronavirus,1367
spread covid,1353
hand sanitizer,1352
medical mask,1348
need wear,1277
mask make,1274
fight covid,1255
mask covid,1245
make face,1229
help fight,1202
health care,1199
mask help,1173
put mask,1172
19 mask,1172
healthcare workers,1151
mask stop,1148
fight coronavirus,1128
amid coronavirus,1114
mask production,1114
surgical masks,1103
protective mask,1101
mask prevent,1097
stop coronavirus,1066
need mask,1032
gloves mask,988
cloth mask,975
protective clothing,951
people wear,950
everyone wearing,946
mask go,945
mask test,944
homemade mask,926
modern piracy,926
everyone wear,916
new coronavirus,890
wears mask,887
hope help,877
accused modern,876
nose mask,869
supplies like,863
fight novel,859
coronavirus us,857
use face,857
test kits,855
19 patients,854
masks meant,850
ply face,849
diversion masks,840
medical protection,840
piracy diversion,840
clothing goggle,838
kn95 ply,837
test cards,836
like kn95,836
cards protective,836
comprehensive medical,836
provide comprehensive,836
protection supplies,836
goggle hope,835
86 18967494556,834
news coronavirus,834
meant europe,834
stop spread,812
masks coronavirus,809
19 test,805
mask wear,804
prevent spread,794
away covid,792
protect others,792
mask mask,782
washing hands,776
hong kong,772
make away,770
non medical,764
mask making,755
go outside,754
gon na,753
via youtube,752
virus mask,751
new york,746
protect covid,741
care workers,719
19 pandemic,712
gt gt,711
please wear,706
19 virus,703
bbc news,695
help stop,680
mask face,672
homemade masks,671
wore mask,671
matt gaetz,670
mask covid19,666
people wearing,662
million masks,660
coronavirus wear,655
lots lots,654
accused piracy,651
mask wash,646
take care,645
masks public,641
piracy mask,638
make sure,635
mask going,631
mask confiscation,629
wearing gas,629
making masks,626
mask home,621
mask n95,616
mask hand,612
many people,589
coronavirus send,583
dayswhatsapp 86,582
receive dayswhatsapp,582
send fedex,582
fedex receive,582
masks protect,574
get mask,570
please contact,563
must wear,563
wear homemade,561
mask protects,558
grocery store,557
one mask,554
mask one,553
foreign buyers,550
mask sewing,548
save lives,545
may right,544
home made,544
myths busted,544
science clear,541
made mask,540
prevent coronavirus,539
asia may,538
mask even,535
health workers,534
taking care,533
19 myths,533
social distance,531
mask via,529
mask would,529
cloth face,522
touch face,521
surgeon general,516
wear one,515
cloth masks,515
due covid,515
sewing required,512
public wear,510
mask exports,508
mask masks,504
mask corona,502
help prevent,500
19 coronavirus,499
masks help,496
make non,494
mouth nose,492
diy mask,486
wore gas,484
medical coronavirus,483
rest world,482
coronavirus patients,481
mask may,477
using mask,474
coronavirus spread,471
public health,469
mask sanitizer,468
medical masks,466
mask factory,464
world coming,459
slow spread,459
use masks,458
white house,457
purchased foreign,455
coming around,453
mask work,452
better nothing,450
protective gear,446
confirmed airborne,445
nose mouth,443
everyone wears,443
prevent covid,441
coronavirus crisis,440
19 spread,438
please help,438
coronavirus expert,437
mask keep,437
280 million,437
get coronavirus,435
mask please,433
tested positive,432
make masks,427
protection covid,425
covid_19 coronavirus,424
mask ads,420
boris johnson,420
buy mask,417
protective equipment,413
cdc says,413
masks sitting,412
spread virus,412
required wear,411
tam says,411
right coronavirus,410
coronavirus covid_19,409
czech republic,408
touching face,408
mask made,406
need masks,405
mask stay,403
coronavirus via,402
coronavirus wearing,401
americans wear,400
toilet paper,400
new mask,399
coughing sneezing,398
make wear,396
coronavirus everyone,395
doctors nurses,392
mask shortages,392
masks available,391
need know,391
coronavirus protection,389
wearing surgical,389
mask covid_19,388
diy face,386
mask could,386
no sew,385
please take,384
pattern use,383
facts checked,379
use public,379
face coverings,379
making face,377
mask days,376
coronavirus updates,374
19 cases,372
breaking news,371
government million,370
keep safe,369
mask get,365
says everyone,364
expired n95,364
19 outbreak,364
million expired,362
british pm,362
wo wear,361
benefit applications,361
mask like,361
icu due,361
pm boris,361
johnson icu,361
applications see,361
see hiccupsmore,361
everyone public,361
stop opt,360
wear maskemergency,360
updates british,360
public places,360
opt time,360
maskemergency benefit,360
mask might,360
hiccupsmore stop,360
19 symptomsteresa,360
symptomsteresa tam,360
hand sanitizers,358
panel assess,358
expert panel,358
wear surgical,357
indiana warehouse,355
last week,352
sitting indiana,352
south korea,352
people making,350
assess face,350
mask outside,348
mask protection,348
mask usage,348
cdc recommends,347
says wear,347
health officials,346
front line,345
mask shipments,345
19 people,344
positive covid,344
hands wear,344
mask people,344
19 facts,343
people want,342
mask need,342
pattern instructions,339
front lines,338
general public,338
masks limited,338
people need,334
masks using,331
use hospitals,330
cdc approved,330
lots people,329
hospitals link,329
want masks,329
approved pattern,329
link pattern,329
using cdc,328
limited amount,328
instructions hackthepandemic,328
