gram,counts
mask,147835
coronavirus,73679
face,37629
covid,37568
19,35649
masks,34270
wear,30796
wearing,23599
virus,18584
people,16269
covid19,13244
corona,12314
amp,11538
make,11499
one,10207
use,10055
need,10013
protect,9588
us,9387
n95,9228
help,9148
public,8362
get,8241
medical,7877
like,7848
please,7802
spread,7652
home,7240
everyone,7048
covid_19,7005
gloves,6822
go,6788
stay,6335
health,6253
new,6216
via,6069
hands,5894
surgical,5842
china,5746
trump,5602
even,5174
stop,5152
know,5119
time,5077
pandemic,5061
safe,4988
protection,4950
hand,4740
work,4668
would,4599
wash,4549
cdc,4523
protective,4493
says,4454
fight,4439
prevent,4426
take,4368
hospital,4282
going,4201
world,4162
making,4100
also,4081
test,4030
made,4019
see,4007
news,4000
workers,3937
care,3921
without,3920
still,3914
day,3897
may,3881
keep,3821
patients,3667
could,3634
ppe,3618
said,3561
want,3553
good,3523
others,3455
sick,3446
around,3440
re,3357
social,3257
coronaviruspandemic,3240
sanitizer,3191
put,3147
think,3100
shortage,3065
better,3062
today,3058
got,3057
using,3047
way,3032
infected,3028
many,3023
right,2889
government,2844
getting,2822
every,2811
days,2808
gas,2802
contact,2790
realdonaldtrump,2786
person,2785
outbreak,2765
hospitals,2721
must,2685
cloth,2676
someone,2666
symptoms,2641
away,2611
nose,2553
buy,2505
first,2501
let,2494
homemade,2491
country,2477
air,2472
say,2446
provide,2440
facemask,2438
outside,2429
supplies,2414
really,2385
well,2382
million,2367
avoid,2323
hope,2313
best,2313
diy,2268
healthcare,2258
mouth,2257
distancing,2255
masks4all,2227
free,2218
due,2203
risk,2201
cases,2198
spreading,2178
used,2174
man,2128
doctors,2121
told,2113
much,2104
house,2044
quarantine,2024
effective,2019
back,2014
ca,2004
nurses,1996
save,1983
infection,1958
taking,1947
video,1946
kn95,1935
production,1931
000,1931
look,1911
healthy,1905
amid,1903
enough,1878
might,1867
sewing,1862
times,1861
airborne,1846
staff,1845
anyone,1826
sure,1801
supply,1798
covidー19,1774
last,1766
week,1754
two,1749
nurse,1724
wore,1721
chinese,1719
countries,1712
doctor,1688
usa,1686
cover,1666
important,1656
piracy,1651
safety,1644
available,1636
order,1630
disease,1598
always,1589
store,1580
patient,1572
10,1572
come,1572
distance,1569
thing,1565
dr,1557
facemasks,1557
give,1555
since,1552
crisis,1547
wears,1543
positive,1537
droplets,1537
accused,1532
flu,1513
3m,1509
life,1499
gt,1482
family,1477
read,1474
full,1471
needs,1464
wo,1440
advice,1424
touch,1416
lives,1416
nothing,1413
disposable,1403
paper,1401
america,1386
president,1386
working,1382
already,1382
2020,1369
transmission,1366
self,1352
washing,1351
find,1349
great,1345
non,1333
coughing,1321
tell,1312
coming,1306
leave,1305
lockdown,1275
filter,1268
novel,1263
americans,1256
covid2019,1252
tested,1249
stayhome,1244
show,1237
saying,1236
yes,1231
na,1224
100,1219
per,1217
feel,1212
ve,1202
etc,1202
never,1201
india,1198
long,1197
start,1195
least,1193
check,1191
coronavirusoutbreak,1189
something,1183
case,1182
simple,1176
send,1171
experts,1169
sew,1168
high,1167
europe,1162
respirator,1148
old,1147
kits,1139
actually,1137
looking,1137
required,1132
testing,1132
measures,1131
taiwan,1123
community,1120
share,1116
hours,1106
another,1098
trying,1093
found,1087
front,1079
article,1077
general,1070
yet,1069
big,1065
things,1064
state,1061
follow,1057
lots,1048
clothing,1043
food,1039
live,1036
gaetz,1024
love,1024
confirmed,997
next,988
youtube,987
local,983
fabric,981
went,980
clean,979
including,974
needed,967
respiratory,966
slow,964
real,960
ply,959
equipment,957
properly,957
touching,957
thank,951
86,951
company,948
daily,948
donate,938
ventilators,937
modern,927
part,925
prevention,924
guidance,923
20,922
makes,922
maybe,921
place,920
possible,919
link,918
cough,910
asked,910
end,897
canada,896
lot,893
guidelines,887
city,885
grocery,878
anti,876
started,873
science,872
price,870
meant,869
watch,866
control,855
govt,854
weeks,853
guy,851
saw,851
remember,849
line,846
pattern,842
seen,839
goggle,837
diversion,835
together,832
italy,831
asymptomatic,830
cards,827
comprehensive,826
business,824
cnn,822
18967494556,817
post,812
shortages,812
instructions,805
cdcgov,805
uk,800
nhs,795
ll,789
instead,788
ago,780
3d,772
reduce,771
sanitizers,770
believe,766
the,765
white,765
whole,758
thanks,757
approved,750
ventilator,749
matt,739
woman,738
factory,737
global,734
foreign,731
support,722
scarf,720
breaking,706
alcohol,701
shop,699
buyers,697
thought,695
fda,692
no,692
updates,689
sir,688
else,680
staysafe,679
limited,677
95,673
year,672
police,668
little,668
soap,664
evidence,661
receive,658
anything,658
coronaoutbreak,658
wuhanvirus,650
money,649
clear,647
covering,647
expert,642
asia,642
march,636
places,634
ask,632
bbc,631
easy,631
icu,631
probably,627
emergency,625
close,618
recommends,617
suspected,616
whether,615
confiscation,615
bad,612
given,609
less,609
stock,608
friends,607
precautions,606
gear,606
coronavirusupdate,604
protects,603
black,602
fedex,601
wants,596
situation,595
asian,593
unless,587
everything,584
dayswhatsapp,582
officials,582
50,578
eyes,574
exports,572
socialdistancing,571
ur,570
water,568
panic,563
essential,563
narendramodi,561
top,555
cotton,552
com,550
bandana,546
american,546
information,546
months,543
god,542
ppl,537
call,536
mandatory,534
die,533
idea,531
job,530
japan,529
guys,527
wrong,526
market,526
shit,524
west,520
questions,519
serious,515
protecting,514
france,513
try,512
sense,509
breathing,506
friend,506
pm,505
overnight,505
rest,504
pls,501
kind,501
ready,497
especially,494
surgeon,489
necessary,485
putting,480
states,480
dont,478
hong,478
south,477
purchased,475
sneezing,474
kong,473
millions,469
reuse,469
story,468
according,467
czech,466
materials,466
gon,464
tam,463
exposed,462
based,462
april,461
death,460
proper,458
visit,457
york,457
guardian,457
epidemic,457
facts,455
supplier,453
reason,452
mattgaetz,451
it,449
viruses,446
checked,443
repmattgaetz,439
wuhan,437
ill,436
behind,434
personal,430
employees,429
myths,425
feet,423
gown,417
fighting,417
280,415
shopping,412
ads,411
seriously,410
sitting,408
coverings,407
kit,406
warehouse,406
though,402
talking,402
tips,400
recommend,399
covid19pandemic,398
toilet,398
british,394
expired,391
email,391
ones,391
stayathome,390
area,390
korea,389
media,389
debate,388
type,386
worse,385
response,384
facebook,384
and,382
johnson,382
soon,381
hygiene,380
boris,378
plastic,377
benefit,372
telling,369
panel,368
able,367
indiana,367
change,366
understand,365
applications,363
inside,362
selling,361
hiccupsmore,361
maskemergency,360
symptomsteresa,360
opt,360
despite,357
assess,356
point,355
shows,355
research,353
floor,352
products,351
isolation,350
helps,350
catch,349
republic,349
pmoindia,346
dust,346
recommended,345
facial,345
small,344
busted,342
room,342
travel,342
amount,341
called,336
warehouses,335
action,335
safely,334
cost,333
low,331
single,330
hackthepandemic,330
large,329
worker,326
fashion,326
shipments,325
question,325
bank,325
rt,323
came,323
everywhere,322
failure,321
nyc,320
system,320
sale,319
crowded,317
study,316
walking,314
biden,314
issue,313
far,313
update,312
common,311
professionals,308
open,308
gov,307
coronavirusupdates,306
done,305
bring,304
true,304
human,300
normal,299
whatsapp,299
reports,298
photo,297
airport,296
treating,294
preventing,294
hard,293
coronaviruscyrus,292
washington,290
showing,290
joke,289
leaving,289
looks,287
30,287
bans,286
office,286
problem,285
fear,284
buying,283
rep,283
cents,283
google,283
78,279
died,278
box,278
lines,276
gets,276
cities,275
online,275
availability,274
uv,273
companies,272
kill,271
details,271
dear,270
remain,270
stores,270
shirt,270
medically,268
jeremy,267
extend,267
body,266
ref,266
camdenwatch,266
usage,266
howard,265
become,264
step,264
force,263
vote,263
asking,263
maintain,262
suit,262
everybody,261
info,261
universal,261
technology,261
manufacturer,261
kmt,260
practically,259
works,259
battelle,256
request,253
knew,252
wang,252
outlook,250
sold,249
qianyin,249
particles,249
different,247
national,247
donald,247
florida,245
ce,244
fever,244
rs,243
latin,243
acute,243
stupid,242
recommendation,242
fine,242
policy,240
campaign,239
doubled,239
bitcoin,237
fact,236
entering,236
comes,236
wearer,235
administration,233
cold,233
hrs,233
frequently,231
issues,230
fake,229
french,228
material,227
hoax,225
residents,224
learn,223
roughly,223
thousands,223
claims,223
ok,221
fuck,220
forget,219
combat,218
mayor,218
earmarked,217
regular,217
nytimes,216
light,215
fucking,214
hijacking,214
threat,213
amazon,213
gowns,212
reusable,212
500,212
misleading,211
antiviral,210
team,210
killed,210
deaths,210
funny,209
bought,209
lol,208
n95masks,207
worried,206
rush,204
size,202
cause,202
nation,202
viral,201
this,201
helping,201
short,199
edyong209,198
talk,198
number,198
germany,198
recommending,197
dire,197
bag,196
frontline,195
jeremyphoward,194
machine,194
warning,193
intended,193
developed,193
eye,192
breakingnews,191
leader,191
answer,190
congress,189
fun,188
globally,187
voluntary,186
infections,184
mock,184
vp,184
likely,182
compulsory,181
took,181
school,180
texas,179
if,178
run,178
data,176
delivery,176
hey,175
stick,175
produce,174
sterilizing,171
oh,171
constituents,171
tests,171
running,171
worn,170
broker,170
donations,169
fears,169
donated,168
antivirals,168
difference,167
latest,167
btcmask,167
we,167
shoemaker,166
awareness,165
lady,165
minutes,164
seems,164
shields,163
handles,163
forbes,163
recommendations,162
immediate,162
message,162
goes,160
head,160
deal,159
ohio,159
palestinian,159
guide,159
grade,159
n95mask,158
immune,158
staying,158
trickiest,157
