gram,counts
covid 19,76402
wear mask,52049
wearing mask,27743
face mask,19557
mask wearing,8815
social distancing,8166
spread covid,5447
face masks,4953
corona virus,4947
mask public,4619
wear face,4477
wash hands,4430
wear masks,4081
19 cases,3897
without mask,3745
wearing face,3608
social distance,3430
stay home,3426
wearing masks,3426
covid19 coronavirus,3420
mask mandate,3351
coronavirus cases,3322
mask order,3032
mask use,2870
mask social,2798
please wear,2791
mask covid,2656
mask protect,2585
spread coronavirus,2556
people wear,2332
coronavirus covid19,2266
coronavirus mask,2210
mask coronavirus,2144
damn mask,2136
stop spread,2087
face covering,1986
prevent spread,1962
stay safe,1902
protect others,1756
19 mask,1749
coronavirus pandemic,1719
mask wash,1717
mandatory mask,1703
wear damn,1677
mask amp,1675
positive covid,1618
mask face,1616
put mask,1612
prevent covid,1531
slow spread,1508
tested positive,1441
19 pandemic,1401
mask stay,1394
fucking mask,1362
get covid,1348
refuse wear,1348
anti mask,1331
mask requirement,1317
wore mask,1285
19 wear,1282
public health,1272
wear one,1270
people wearing,1238
wears mask,1216
refused wear,1202
practice social,1200
19 still,1183
masks public,1174
could prevent,1157
mask help,1108
widespread mask,1105
many people,1102
need wear,1101
wear fucking,1093
19 second,1081
covid coronavirus,1050
19 wave,1049
new cases,1046
gon na,1037
n95 mask,1025
save lives,1024
wearing could,1024
trump biden,1018
19 virus,1017
mask go,1017
face coverings,1016
mask keep,1007
second waves,1005
refusing wear,1000
get coronavirus,993
mask prevent,989
want wear,981
washing hands,981
cloth mask,979
physical distancing,976
use could,964
mask people,954
mask wear,939
use mask,914
waves study,914
mask stop,912
everyone wear,904
mask protects,893
mask rule,889
mask get,887
mask requirements,887
fight covid,882
new mask,871
mask like,864
cases covid,834
statewide mask,831
19 wearing,815
spread virus,812
reduce spread,806
protect covid,805
positive coronavirus,793
must wear,788
coronavirus wear,783
second third,775
new coronavirus,773
could crush,772
100 face,771
getting covid,770
mask policy,769
donald trump,766
public places,764
crush second,763
keep distance,763
distancing mask,755
make sure,754
19 spread,752
covid19 covid,751
wo wear,751
task force,750
due covid,741
republican congressman,740
mask covid19,740
coronavirus trump,739
new covid,739
cloth face,738
third covid,735
study 100,730
mask mandates,730
mask practice,710
need mask,709
help stop,707
help prevent,703
distance wear,699
masks help,698
mask even,698
19 real,691
home wear,686
spreading covid,668
new york,655
second wave,651
maintain social,651
get sick,650
mask mask,648
required wear,634
national mask,633
masks protect,633
mask would,632
19 test,631
refuses wear,628
trump rally,624
mask please,618
house floor,616
died covid,614
mask house,613
mask pandemic,612
hands wear,612
feet apart,610
coronavirus still,610
stop covid,606
mask going,605
mask rules,602
19 hoax,601
hotspot mask,598
virus hotspot,597
biden pandemic,596
wearing one,594
united states,592
hand washing,589
loved ones,589
distancing wearing,588
hand sanitizer,587
common sense,583
amp mask,583
cases rise,581
masks work,575
health care,569
coronavirus refused,569
use face,565
surgical mask,564
mask one,560
mask outside,559
mask gloves,553
always wear,545
protect coronavirus,544
public spaces,533
coronavirus covid,528
safe wear,527
nose mask,524
mask masks,523
masks mandatory,521
dr fauci,519
would wear,518
herman cain,517
mask re,514
weeks ago,513
mask wearers,512
greg abbott,509
cases surge,508
year old,507
forget wear,507
mask ordinance,507
two weeks,506
mask save,501
tests positive,499
wan na,498
19 transmission,498
masks stop,496
mask could,494
high risk,492
19 please,485
grocery store,485
cloth masks,483
pandemic socialdistancing,483
socialdistancing virus,480
distance wash,479
n95 masks,478
get tested,478
best way,476
mask floor,476
public transport,475
covid19 covid_19,473
goldman sachs,472
every day,472
like wearing,472
catch covid,469
mask usage,469
president trump,469
caught covid,466
coronavirus spread,461
floor house,461
take care,460
real men,459
men wear,457
looks like,456
mask via,455
worn mask,454
19 patients,452
family caught,450
announces family,447
house announces,444
mask helps,443
texas governor,443
masks coronavirus,443
coronavirus socialdistancing,441
still wear,440
protection covid,436
last week,436
republican wear,435
mask free,434
even though,434
nose mouth,432
socially distance,430
mask want,428
others wear,428
help slow,427
medical mask,427
coronavirus task,426
people need,425
people still,425
people think,424
one wearing,423
health officials,419
people covid,418
infected covid,418
vaccine mask,416
preventing spread,415
mask make,415
testing vaccine,415
white house,415
biden testing,414
people died,413
think covid,412
cases spike,412
health experts,412
coronavirus masks,411
amp wear,410
take mask,407
19 deaths,406
mask political,405
mask less,402
coronavirus face,401
residents erupt,401
orange county,400
gov greg,399
people dying,398
face shield,395
meeting new,391
erupt meeting,391
everyone wears,390
people refuse,388
tom hanks,388
mask gives,387
las vegas,383
distancing wear,382
die covid,382
non medical,382
lives matter,381
someone else,378
immune system,377
coronavirus deaths,377
lone ranger,375
tulsa rally,375
spread covid19,374
sign waiver,373
angry residents,372
think wearing,371
mask also,370
enforce mask,368
coronavirus wearing,366
000 deaths,363
best protection,362
please stay,361
protect people,358
save life,357
masks covid,356
go back,356
gas mask,356
mask still,355
walk around,353
staying home,352
via sfgate,351
wave via,351
people like,350
mask work,350
mask take,349
fox news,348
flattenthecurve trump,348
socialdistancing flattenthecurve,348
19 would,346
like covid,346
people around,342
mask said,342
trump wear,342
catching covid,342
keep safe,341
19 people,340
everyone else,339
make mask,339
mask time,339
amid coronavirus,338
mask properly,338
large gatherings,336
look like,333
business insider,330
get mask,329
mask think,329
contracting covid,329
keep social,325
around mask,325
mask really,324
help reduce,324
mask trump,324
surgical masks,323
new normal,323
mask makes,322
deaths covid,321
cases coronavirus,321
single day,320
person wearing,320
gold face,320
six feet,317
hands frequently,316
go away,316
masks mask,315
000 new,313
executive order,313
coronavirus would,312
mask capitol,311
political statement,307
amp social,307
jair bolsonaro,307
help protect,305
got covid,305
mouth nose,304
kind face,303
congressman coronavirus,303
6ft amp,302
19 amp,302
safe 6ft,302
hands often,300
covid_19 coronavirus,299
mask maintain,299
gives best,299
people get,298
distancing wash,296
19 numbers,296
risk covid,295
know covid,295
better wearing,294
would better,294
others covid,293
breathing problem,292
mask mandatory,292
000 people,292
test positive,291
mask around,290
everyone wearing,289
trump says,287
contract covid,287
remember wear,287
says wear,286
tom rice,285
19 going,285
nose wire,285
without wearing,285
political issue,285
help us,284
novel coronavirus,283
news coronavirus,282
fight coronavirus,281
19 care,280
mask study,279
mask may,279
wearing helmet,279
transmission covid,279
000 americans,278
getting coronavirus,277
capitol business,276
young people,276
mask faces,276
indian man,276
masks prevent,276
mike pence,274
faces would,274
covid covid19,274
mandatory face,273
even wear,273
healthy people,273
announced coronavirus,272
study finds,272
19 infections,270
every time,269
right thing,269
second covid,269
mask made,268
re going,267
mask avoid,265
people color,264
mask policies,264
4th july,263
us wear,260
people die,260
mask exemption,260
masks required,260
19 face,259
via zazzle,259
distancing amp,259
mask orders,258
floor weeks,257
contact tracing,257
distance others,257
go wear,256
experts say,256
mask know,254
protects others,253
counties 20,253
getting serious,252
getting sick,252
coronavirus hoax,250
using mask,250
transmission wearing,250
congressman announced,249
mask let,249
dick cheney,249
mask hand,249
man wears,248
trump supporters,247
wore masks,247
19 coronavirus,247
oregon county,246
keep wearing,245
shows exactly,244
death rate,244
visualization shows,244
los angeles,244
feel like,243
mask every,243
something falling,243
falling head,242
coronavirus transmission,242
risk something,242
leave house,242
head greater,241
anyone else,240
serious case,240
use masks,240
greater getting,240
got ta,239
virus mask,239
dying covid,238
requiring masks,237
take precautions,237
etsy shop,236
issues mandatory,235
halt spread,235
city council,235
mask facemask,234
coming back,234
mask good,234
healthcare workers,234
stay away,233
via youtube,233
mask washing,231
33 000,231
mask right,231
cdc guidelines,231
wearing cloth,231
american airlines,230
spreading coronavirus,230
please please,230
much possible,230
one person,230
guidance changed,230
hong kong,229
former republican,229
bolsonaro wear,228
without face,228
going get,227
trump anti,227
live updates,227
still wearing,227
brazil president,226
new study,226
reason wear,226
trump tulsa,226
require masks,226
math national,225
filter pocket,225
north carolina,225
issues statewide,225
coronavirus wearamask,224
2nd wave,224
exactly face,222
way reduce,222
get back,222
spike covid,221
non mask,221
protection coronavirus,221
bbc news,220
practicing social,220
palm beach,220
done math,220
coronavirus facemask,220
changed much,219
mask need,219
reduce risk,218
required masks,218
mask crusade,218
crusade coming,218
coronavirus covidー19,217
please share,217
mask law,217
masks check,217
black lives,216
rally tulsa,216
know wearing,215
like lone,215
mask required,214
washington state,214
herd immunity,213
coronavirus real,213
vp dick,213
governor issues,213
believe covid,213
realmenwearmasks coronavirus,212
president jair,212
store real,211
19 like,211
daughter posted,211
masks realmenwearmasks,211
masks fewer,211
said real,211
vp wearing,211
walking around,211
asked wear,211
reduce coronavirus,211
republican vp,211
judge orders,211
posted picture,211
picture vp,211
cheney daughter,211
check store,211
respiratory droplets,210
country required,210
keep mind,210
faster country,210
sachs done,209
study shows,208
people mask,208
one day,208
wire filter,207
mandate halt,207
mask guidance,207
back bite,207
big impact,206
fewer coronavirus,206
mask socially,205
19 spreading,205
19 infection,204
president bolsonaro,204
need know,203
ca wear,202
19 even,202
hands regularly,201
covid19 trumpsgraveyard,201
coronavirus going,200
killing people,200
right wear,200
cases continue,199
cases rising,199
confirmed cases,198
americans wear,198
mask wearamask,198
ear loops,198
back normal,198
die coronavirus,197
acting like,197
would big,196
mask covid_19,195
exemption cards,195
testing positive,194
county sheriff,194
forced wear,194
months ago,193
spreading virus,193
via usatoday,192
please take,192
family members,192
180 000,191
mask sight,191
congressman tom,191
want get,190
gold mask,190
virus spread,189
limit spread,189
texas gov,189
virus wear,189
japanese startup,188
much wearing,188
virus still,188
protect economy,188
mask reduce,185
mask health,185
help fight,185
people getting,182
holiday weekend,182
masks amp,182
long term,182
mask everyone,181
may never,181
safely wear,180
face cover,180
universal mask,180
19 testing,180
wear cloth,180
wave cold,179
hands stay,179
say wear,179
first time,179
masks effective,178
maga rally,178
covidー19 coronavirus,177
masks worn,177
says second,177
says mask,177
sure wear,177
wears gold,176
deaths study,176
see people,175
importance wearing,175
mask protecting,175
would rather,175
stop coronavirus,175
impact economy,174
save 33,174
people want,174
remember keep,173
19 seriously,173
mask ca,173
without masks,173
elastic ear,172
case covid,172
mask effective,172
mask tests,171
covid19 cases,170
think trump,170
hand hygiene,170
fourth july,169
people coronavirus,168
coronavirus infections,168
facemask coronavirus,168
mask designs,168
never happen,168
love ones,168
starbucks barista,168
different mask,168
come get,168
mask print,167
texas mask,167
shop come,167
19 community,167
print mug,167
prints stickers,167
designs prints,167
online shop,167
covid19 mask,167
added several,167
mandate mask,167
etc 20,167
mug etc,167
20 proceeds,167
stickers online,167
donated help,167
proceeds donated,167
several different,167
19 outbreak,166
mandatory wear,166
re wearing,166
help keep,165
newsom issues,165
go public,165
found wearing,165
decision haunt,164
life go,164
happen mask,164
take covid,164
fake news,163
mask decision,163
would like,163
health life,163
19 could,163
covid cases,162
big deal,162
mask ward,162
prevent coronavirus,162
mask must,162
family coronavirus,162
19 also,161
every single,161
keep mask,161
gov abbott,161
weeks refused,161
trump reelection,161
lung covid,160
gatherings think,160
reusable face,160
safe covid,160
reelection bid,160
coronavirus covid_19,160
haunt trump,159
ones health,159
19 positive,159
us covid,159
article amp,159
require mask,159
rally large,159
people would,159
care love,159
wearing symbolic,159
trump asking,158
go maga,158
asking sign,158
coronavirus two,158
waiver safe,158
wave may,157
mask important,157
changes tune,157
100 000,156
amid covid,156
founder reopen,156
120 000,156
set example,156
october mask,155
arizona governor,155
harris county,155
tune says,155
going wear,155
amp reuters,154
rice reveals,154
study found,154
american people,154
inventor n95,154
ward coronavirus,154
order save,153
south carolina,153
reveals family,153
nick cordero,153
across country,153
wearing coronavirus,152
19 october,152
beach county,151
mask air,151
passenger removed,150
helmet risk,150
forecast 180,150
good luck,150
resistance mask,149
washable face,149
130 000,149
self defeating,149
airlines passenger,149
study reuters,149
masks critical,149
mask wo,149
vice president,149
defeating resistance,148
reopen movement,148
think mask,148
immunology bern,148
removed wearing,148
continue wear,148
connected face,148
wearing social,148
gt gt,148
beda stadler,148
new forecast,147
cv19 beda,147
bern uni,147
feet away,147
stadler inst,147
inst immunology,147
case cv19,147
fauci changes,147
infectious disease,147
coronavirus new,146
family friends,146
told wear,145
still pass,145
mask might,145
stop spreading,145
issues mask,145
social media,145
mask today,145
abbott issues,145
could save,145
tested covid,144
cold walk,144
others wearing,144
texas republican,144
wearing says,143
one mask,143
free fight,143
study article,142
mask times,142
mask enforcement,142
mostly free,142
pass face,142
please continue,141
hospitalized covid,140
young healthy,140
trump campaign,140
please remember,139
behind mask,139
public wear,139
physical distance,139
california coronavirus,139
wo enforce,139
wave covid,138
19 one,138
requiring people,138
go outside,138
trump self,138
racial profiling,137
hands social,137
don ts,137
people without,137
coronavirus american,137
county mask,137
people know,137
even re,136
like wear,136
amp don,136
